Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 22.03      0.26     0.26 32981051     0.01     0.01  glm::vec<3, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
 19.07      0.48     0.23 33423488     0.01     0.01  glm::vec<3, float, (glm::qualifier)0> glm::operator-<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  9.32      0.59     0.11 32955205     0.00     0.03  Engine::checkCollision(Sphere&, Sphere&)
  8.47      0.69     0.10 32955205     0.00     0.02  glm::detail::compute_length<3, float, (glm::qualifier)0, false>::call(glm::vec<3, float, (glm::qualifier)0> const&)
  7.63      0.79     0.09 32981051     0.00     0.01  glm::detail::compute_dot<glm::vec<3, float, (glm::qualifier)0>, float, false>::call(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  7.63      0.88     0.09 32966777     0.00     0.00  std::sqrt(float)
  5.93      0.94     0.07 67301897     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::vec(float, float, float)
  5.08      1.00     0.06 65915168     0.00     0.00  std::vector<Sphere, std::allocator<Sphere> >::operator[](unsigned long)
  2.54      1.03     0.03 33299320     0.00     0.00  std::vector<Sphere, std::allocator<Sphere> >::size() const
  2.54      1.06     0.03     4758     6.31   227.95  Engine::runPhysics(std::vector<Sphere, std::allocator<Sphere> >&, float&)
  1.69      1.08     0.02 32955205     0.00     0.02  float glm::length<3, float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&)
  0.85      1.09     0.01   567315     0.02     0.02  glm::detail::compute_vec4_add<float, (glm::qualifier)0, false>::call(glm::vec<4, float, (glm::qualifier)0> const&, glm::vec<4, float, (glm::qualifier)0> const&)
  0.85      1.10     0.01   484615     0.02     0.02  ImFontBaked::FindGlyph(unsigned short)
  0.85      1.11     0.01    57096     0.18     0.35  ImFont::RenderText(ImDrawList*, float, ImVec2 const&, unsigned int, ImVec4 const&, char const*, char const*, float, bool)
  0.85      1.12     0.01    42835     0.23     0.23  ImHashStr(char const*, unsigned long, unsigned int)
  0.85      1.14     0.01     9516     1.05     1.05  ImDrawList::_ResetForNewFrame()
  0.85      1.15     0.01     4758     2.10     2.10  ImGui::UpdateMouseInputs()
  0.85      1.16     0.01     4758     2.10     2.10  ImGui::UpdateKeyboardInputs()
  0.85      1.17     0.01     4758     2.10     2.10  ImGui::ErrorCheckEndFrameSanityChecks()
  0.42      1.17     0.01    80886     0.06     0.06  glm::vec<4, float, (glm::qualifier)0>::operator[](int)
  0.42      1.18     0.01    23790     0.21     0.56  ImGui::RenderTextClipped(ImVec2 const&, ImVec2 const&, char const*, char const*, ImVec2 const*, ImVec2 const&, ImRect const*)
  0.42      1.18     0.01                             ImGui::RenderTextEllipsis(ImDrawList*, ImVec2 const&, ImVec2 const&, float, char const*, char const*, ImVec2 const*)
  0.00      1.18     0.00 32981051     0.00     0.01  float glm::dot<3, float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  0.00      1.18     0.00  1542472     0.00     0.00  ImVec2::ImVec2(float, float)
  0.00      1.18     0.00  1229790     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::length()
  0.00      1.18     0.00  1134630     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::vec(float, float, float, float)
  0.00      1.18     0.00   756420     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::operator[](int) const
  0.00      1.18     0.00   727870     0.00     0.00  __gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > >::base() const
  0.00      1.18     0.00   567315     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::length()
  0.00      1.18     0.00   567315     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::vec(float)
  0.00      1.18     0.00   567315     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>& glm::vec<4, float, (glm::qualifier)0>::operator*=<float>(float)
  0.00      1.18     0.00   567315     0.00     0.02  glm::vec<4, float, (glm::qualifier)0>& glm::vec<4, float, (glm::qualifier)0>::operator+=<float>(glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      1.18     0.00   567315     0.00     0.00  glm::detail::compute_vec4_mul<float, (glm::qualifier)0, false>::call(glm::vec<4, float, (glm::qualifier)0> const&, glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      1.18     0.00   567315     0.00     0.00  glm::vec<4, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<4, float, (glm::qualifier)0> const&, float const&)
  0.00      1.18     0.00   567315     0.00     0.02  glm::vec<4, float, (glm::qualifier)0> glm::operator+<float, (glm::qualifier)0>(glm::vec<4, float, (glm::qualifier)0> const&, glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      1.18     0.00   567315     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::operator[](int) const
  0.00      1.18     0.00   552400     0.00     0.00  ImSaturate(float)
  0.00      1.18     0.00   473370     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::operator[](int)
  0.00      1.18     0.00   466759     0.00     0.00  float ImMax<float>(float, float)
  0.00      1.18     0.00   363915     0.00     0.00  bool __gnu_cxx::operator!=<Sphere*, std::vector<Sphere, std::allocator<Sphere> > >(__gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > > const&, __gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > > const&)
  0.00      1.18     0.00   358370     0.00     0.00  __gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > >::operator++()
  0.00      1.18     0.00   358370     0.00     0.00  __gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > >::operator*() const
  0.00      1.18     0.00   343288     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator+<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  0.00      1.18     0.00   223619     0.00     0.00  operator+(ImVec2 const&, ImVec2 const&)
  0.00      1.18     0.00   203494     0.00     0.00  ImRect::ImRect(ImVec2 const&, ImVec2 const&)
  0.00      1.18     0.00   203379     0.00     0.00  float* glm::value_ptr<float, (glm::qualifier)0>(glm::mat<4, 4, float, (glm::qualifier)0>&)
  0.00      1.18     0.00   201732     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, float)
  0.00      1.18     0.00   189105     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::mat(float const&)
  0.00      1.18     0.00   189105     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::vec<float, int, int, int>(float, int, int, int)
  0.00      1.18     0.00   189105     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::vec<int, float, int, int>(int, float, int, int)
  0.00      1.18     0.00   189105     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::vec<int, int, float, int>(int, int, float, int)
  0.00      1.18     0.00   189105     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::vec<int, int, int, float>(int, int, int, float)
  0.00      1.18     0.00   189105     0.00     0.05  glm::mat<4, 4, float, (glm::qualifier)0> glm::translate<float, (glm::qualifier)0>(glm::mat<4, 4, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  0.00      1.18     0.00   185230     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>& glm::vec<3, float, (glm::qualifier)0>::operator+=<float>(glm::vec<3, float, (glm::qualifier)0> const&)
  0.00      1.18     0.00   169265     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::vec(float)
  0.00      1.18     0.00   169265     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator/<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, float)
  0.00      1.18     0.00   169265     0.00     0.01  Engine::performVerlet(Sphere&)
  0.00      1.18     0.00   169265     0.00     0.01  Engine::floorCollision(Sphere&, float)
  0.00      1.18     0.00   169265     0.00     0.01  Engine::boundaryCollision(Sphere&, float, float, float, float, float, float)
  0.00      1.18     0.00   169265     0.00     0.00  Engine::putForce(Sphere&, glm::vec<3, float, (glm::qualifier)0>, float)
  0.00      1.18     0.00   152256     0.00     0.00  ImGui::GetRoundedFontSize(float)
  0.00      1.18     0.00   142739     0.00     0.00  ImVector<unsigned short>::resize(int)
  0.00      1.18     0.00   141642     0.00     0.00  ImMax(ImVec2 const&, ImVec2 const&)
  0.00      1.18     0.00   137981     0.00     0.00  ImGui::GetColorU32(int, float)
  0.00      1.18     0.00   137981     0.00     0.00  ImGui::ColorConvertFloat4ToU32(ImVec4 const&)
  0.00      1.18     0.00   137981     0.00     0.00  ImVector<ImDrawVert>::resize(int)
  0.00      1.18     0.00   128466     0.00     0.00  ImFont::GetFontBaked(float, float)
  0.00      1.18     0.00   128465     0.00     0.00  ImDrawList::PrimReserve(int, int)
  0.00      1.18     0.00   128458     0.00     0.00  ImRect::ImRect(float, float, float, float)
  0.00      1.18     0.00   118944     0.00     0.00  ImGui::GetCurrentWindow()
  0.00      1.18     0.00   117852     0.00     0.00  ImMin(ImVec2 const&, ImVec2 const&)
  0.00      1.18     0.00   114678     0.00     0.00  ImVec2::operator[](unsigned long)
  0.00      1.18     0.00   113092     0.00     0.00  ImRect::ContainsWithPad(ImVec2 const&, ImVec2 const&) const
  0.00      1.18     0.00   108336     0.00     0.00  ImGui::IsMouseHoveringRect(ImVec2 const&, ImVec2 const&, bool)
  0.00      1.18     0.00   108336     0.00     0.00  ImRect::ClipWith(ImRect const&)
  0.00      1.18     0.00    86719     0.00     0.00  ImGui::IsNamedKey(ImGuiKey)
  0.00      1.18     0.00    80886     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::length()
  0.00      1.18     0.00    80883     0.00     0.00  ImRsqrt(float)
  0.00      1.18     0.00    80883     0.00     0.00  ImVector<ImVec2>::push_back(ImVec2 const&)
